gene_id,0,3,4,6
"""DAP""",chr5,10679230,10761275,-
"""DAP3""",chr1,155689091,155739009,+
"""DAPK1""",chr9,87497228,87708634,+
"""DAPK2""",chr15,63907036,64046322,-
"""DAPK3""",chr19,3958453,3971123,-
"""DAPL1""",chr2,158795317,158815984,+
"""DAPP1""",chr4,99816824,99870189,+
"""DARS""",chr2,135905881,135985684,-
"""DARS-AS1""",chr2,135985176,136007542,+
"""DARS2""",chr1,173824659,173858544,+
"""DAW1""",chr2,227871611,227924310,+
"""DAXX""",chr6,4512987,33323016,-
"""DAZ1""",chrY,23129355,23199092,-
"""DAZ2""",chrY,23219457,24907040,+
"""DAZ3""",chrY,23219434,24907040,-
"""DAZ4""",chrY,23129355,24907040,+
"""DAZAP1""",chr19,1407569,1435687,+
"""DAZAP2""",chr12,51238724,51246717,+
"""DAZL""",chr3,16586794,16605499,-
"""DBET""",chr4,190064502,190067864,+
"""DBF4""",chr7,87876229,87909541,+
"""DBF4B""",chr17,44708608,44752268,+
"""DBH""",chr9,133636363,133659344,+
"""DBH-AS1""",chr9,133654587,133657408,-
"""DBI""",chr2,119366924,119372551,+
"""DBIL5P""",chr17,752333,755336,+
"""DBIL5P2""",chr2,63117851,63119542,-
"""DBN1""",chr5,177456613,177473693,-
"""DBNDD1""",chr16,90004865,90020131,-
"""DBNDD2""",chr20,45405993,45410610,+
"""DBNL""",chr7,44044640,44061716,+
"""DBP""",chr19,48630560,48637550,-
"""DBR1""",chr3,138160988,138174949,-
"""DBT""",chr1,100186922,100249853,-
"""DBX1""",chr11,20156214,20160324,-
"""DBX2""",chr12,45014756,45051099,-
"""DCAF10""",chr9,37800554,37867668,+
"""DCAF11""",chr14,24114697,24125242,+
"""DCAF12""",chr9,34086383,34126773,-
"""DCAF12L1""",chrX,126549383,126552859,-
"""DCAF12L2""",chrX,126163499,126166097,-
"""DCAF13""",chr8,103414714,103443452,+
"""DCAF13P3""",chr15,50944129,50946565,+
"""DCAF15""",chr19,13952507,13961444,+
"""DCAF16""",chr4,17800655,17810758,-
"""DCAF17""",chr2,171434251,171485052,+
"""DCAF4""",chr14,72926332,72959649,+
"""DCAF4L1""",chr4,41981696,41986467,+
"""DCAF4L2""",chr8,87870743,87874068,-
"""DCAF5""",chr14,69050920,69153197,-
"""DCAF6""",chr1,167936559,168075843,+
"""DCAF7""",chr17,63550435,63594281,+
"""DCAF8""",chr1,160215715,160262560,-
"""DCAF8L1""",chrX,27977993,27981449,-
"""DCAF8L2""",chrX,27746809,27748821,+
"""DCAKD""",chr17,45023338,45061109,-
"""DCANP1""",chr5,135444214,135447348,-
"""DCBLD1""",chr6,117482657,117569857,+
"""DCBLD2""",chr3,98795970,98901689,-
"""DCC""",chr18,52340172,53535903,+
"""DCD""",chr12,54644591,54648493,-
"""DCDC1""",chr11,31262624,31369810,-
"""DCDC2""",chr6,24171755,24383292,-
"""DCDC2B""",chr1,32209094,32216196,+
"""DCDC2C""",chr2,3703592,3847410,+
"""DCDC5""",chr11,30863603,30992686,-
"""DCHS1""",chr11,6621324,6655849,-
"""DCHS2""",chr4,154234375,154491725,-
"""DCK""",chr4,70993548,71030912,+
"""DCLK1""",chr13,35768652,36131377,-
"""DCLK2""",chr4,150078274,150257456,+
"""DCLK3""",chr3,36712422,36739861,-
"""DCLRE1A""",chr10,113834724,113854404,-
"""DCLRE1B""",chr1,113905293,113914086,+
"""DCLRE1C""",chr10,14904611,14954432,-
"""DCN""",chr12,91145258,91183029,-
"""DCP1A""",chr3,53283425,53347627,-
"""DCP1B""",chr12,1946048,2004511,-
"""DCP2""",chr5,112976710,113022195,+
"""DCPS""",chr11,126303752,126345753,+
"""DCST1""",chr1,155033806,155050930,+
"""DCST2""",chr1,155018527,155033781,-
"""DCSTAMP""",chr8,104339796,104356689,+
"""DCT""",chr13,94439586,94479682,-
"""DCTD""",chr4,182890091,182917477,-
"""DCTN1""",chr2,74361154,74392087,-
"""DCTN1-AS1""",chr2,74385718,74393881,+
"""DCTN2""",chr12,57530050,57547331,-
"""DCTN3""",chr9,34613545,34620523,-
"""DCTN4""",chr5,150708747,150759095,-
"""DCTN5""",chr16,23641366,23673747,+
"""DCTN6""",chr8,30156297,30183639,+
"""DCTPP1""",chr16,30423698,30430052,-
"""DCUN1D1""",chr3,182938158,182985953,-
"""DCUN1D2""",chr13,113455819,113490708,-
"""DCUN1D3""",chr16,20858074,20900239,-
"""DCUN1D4""",chr4,51843000,51916837,+
"""DCUN1D5""",chr11,103050684,103092215,-
"""DCX""",chrX,111293779,111412232,-
"""DCXR""",chr17,82035881,82037697,-
"""DDA1""",chr19,17309528,17323297,+
"""DDAH1""",chr1,85318485,85578363,-
"""DDAH2""",chr6,2974798,31730265,-
"""DDB1""",chr11,61299447,61333212,-
"""DDB2""",chr11,47214942,47239218,+
"""DDC""",chr7,50458436,50565457,-
"""DDC-AS1""",chr7,50531759,50543463,+
"""DDHD1""",chr14,53036740,53153328,-
"""DDHD2""",chr8,38231491,38262769,+
"""DDI1""",chr11,104036580,104039194,+
"""DDI2""",chr1,15617458,15661057,+
"""DDIAS""",chr11,82901695,82934657,+
"""DDIT3""",chr12,57516588,57520517,-
"""DDIT4""",chr10,72273919,72276039,+
"""DDIT4L""",chr4,100185870,100190498,-
"""DDN""",chr12,48995150,48999305,-
"""DDO""",chr6,110392180,110415550,-
"""DDOST""",chr1,20651767,20661544,-
"""DDR1""",chr6,2137781,30900156,+
"""DDR2""",chr1,162632438,162780457,+
"""DDRGK1""",chr20,3190366,3204649,-
"""DDT""",chr22,207729,23979828,-
"""DDTL""",chr22,203201,23972559,+
"""DDX1""",chr2,15591621,15631111,+
"""DDX10""",chr11,108665025,108940930,+
"""DDX11""",chr12,31073845,31104791,+
"""DDX11-AS1""",chr12,31020763,31073847,-
"""DDX11L1""",chr1,11874,14409,+
"""DDX11L10""",chr16,11555,14090,+
"""DDX11L16""",chrX,57212178,156028183,-
"""DDX11L2""",chr2,113599028,113603717,-
"""DDX11L5""",chr9,11987,14525,+
"""DDX11L9""",chr15,101976558,101979093,-
"""DDX12P""",chr12,9417691,9448172,-
"""DDX17""",chr22,38483438,38506340,-
"""DDX18""",chr2,117814679,117832377,+
"""DDX19A""",chr16,70346921,70373378,+
"""DDX19B""",chr16,70289767,70333832,+
"""DDX20""",chr1,111755568,111767577,+
"""DDX21""",chr10,68956123,68985069,+
"""DDX23""",chr12,48829756,48852174,-
"""DDX24""",chr14,1165484,94081212,-
"""DDX25""",chr11,125904366,125923111,+
"""DDX26B""",chrX,135520630,135582535,+
"""DDX26B-AS1""",chrX,135520083,135520674,-
"""DDX27""",chr20,49219295,49244077,+
"""DDX28""",chr16,68021274,68023867,-
"""DDX31""",chr9,132594289,132670401,-
"""DDX39A""",chr19,14408798,14419383,-
"""DDX39B""",chr6,2777992,31542475,-
"""DDX3X""",chrX,41333308,41364472,+
"""DDX3Y""",chrY,12904108,12920478,+
"""DDX4""",chr5,55738017,55817146,+
"""DDX41""",chr5,177511577,177516966,-
"""DDX42""",chr17,63774189,63819317,+
"""DDX43""",chr6,73394562,73417566,+
"""DDX46""",chr5,134758734,134831136,+
"""DDX47""",chr12,12813346,12829981,+
"""DDX49""",chr19,18919675,18928633,+
"""DDX5""",chr17,64498256,64506366,-
"""DDX50""",chr10,68901278,68946847,+
"""DDX51""",chr12,132136595,132144335,-
"""DDX52""",chr17,1848855,37643464,-
"""DDX53""",chrX,22999961,23002089,+
"""DDX54""",chr12,113157173,113185479,-
"""DDX55""",chr12,123602125,123620935,+
"""DDX56""",chr7,44565417,44574538,-
"""DDX58""",chr9,32455302,32526324,-
"""DDX59""",chr1,200644037,200669998,-
"""DDX6""",chr11,118747764,118791263,-
"""DDX60""",chr4,168216291,168318807,-
"""DDX60L""",chr4,168356735,168480514,-
"""DEAF1""",chr11,176100,695754,-
"""DEAR""",chr4,152337655,152338096,+
"""DEC1""",chr9,115141818,115402644,+
"""DECR1""",chr8,90001352,90051999,+
"""DECR2""",chr16,1004,412487,+
"""DEDD""",chr1,161120978,161132688,-
"""DEDD2""",chr19,42198593,42220152,-
"""DEF6""",chr6,35297818,35321771,+
"""DEF8""",chr16,89948731,89968060,+
"""DEFA1""",chr8,6977649,6999202,-
"""DEFA10P""",chr8,6968141,6969113,-
"""DEFA11P""",chr8,7028601,7029489,-
"""DEFA1B""",chr8,6977649,6999202,-
"""DEFA3""",chr8,7015869,7018294,-
"""DEFA4""",chr8,6935820,6938338,-
"""DEFA5""",chr8,7055300,7056739,-
"""DEFA6""",chr8,6924694,6926076,-
"""DEFA8P""",chr8,6950726,6951599,-
"""DEFA9P""",chr8,6959289,6960161,-
"""DEFB1""",chr8,6870576,6878007,-
"""DEFB103A""",chr8,111965,7882658,-
"""DEFB103B""",chr8,111965,7882658,-
"""DEFB104A""",chr8,153417,7841242,-
"""DEFB104B""",chr8,153417,7841242,-
"""DEFB105A""",chr8,170774,7823890,+
"""DEFB105B""",chr8,170774,7823890,+
"""DEFB106A""",chr8,165611,7829053,-
"""DEFB106B""",chr8,165611,7829053,-
"""DEFB107A""",chr8,178949,7815716,+
"""DEFB107B""",chr8,178949,7815716,+
"""DEFB108B""",chr11,71833200,71837562,+
"""DEFB109P1""",chr8,3981,12400365,+
"""DEFB109P1B""",chr8,3981,7997521,-
"""DEFB110""",chr6,50009138,50021981,-
"""DEFB112""",chr6,50043575,50048651,-
"""DEFB113""",chr6,49968677,49969625,-
"""DEFB114""",chr6,49960292,49964105,-
"""DEFB115""",chr20,31257664,31259632,+
"""DEFB116""",chr20,31303212,31308585,-
"""DEFB118""",chr20,31368618,31373902,+
"""DEFB119""",chr20,31377163,31390649,-
"""DEFB121""",chr20,31404845,31412838,-
"""DEFB122""",chr20,31421439,31429180,-
"""DEFB123""",chr20,31440519,31450257,+
"""DEFB124""",chr20,31465506,31473013,-
"""DEFB125""",chr20,87672,96573,+
"""DEFB126""",chr20,142553,145751,+
"""DEFB127""",chr20,157470,159163,+
"""DEFB128""",chr20,187853,189681,-
"""DEFB129""",chr20,227258,229886,+
"""DEFB130""",chr8,12064389,12318316,-
"""DEFB131""",chr4,9444534,9450514,+
"""DEFB132""",chr20,257736,261095,+
"""DEFB133""",chr6,49946101,49949444,-
"""DEFB134""",chr8,11993177,12000752,-
"""DEFB135""",chr8,11982321,11984590,+
"""DEFB136""",chr8,11973937,11974599,-
"""DEFB4A""",chr8,7894565,7896716,+
"""DEFB4B""",chr8,97916,7416832,-
"""DEFT1P""",chr8,6987178,7008824,-
"""DEFT1P2""",chr8,6987178,7008824,-
"""DEGS1""",chr1,224183208,224193440,+
"""DEGS2""",chr14,100146416,100159675,-
"""DEK""",chr6,18224169,18264568,-
"""DENND1A""",chr9,123379654,123930138,-
"""DENND1B""",chr1,197504749,197775493,-
"""DENND1C""",chr19,6467204,6481808,-
"""DENND2A""",chr7,140518420,140602542,-
"""DENND2C""",chr1,114584575,114670111,-
"""DENND2D""",chr1,111185969,111204538,-
"""DENND3""",chr8,141128621,141195801,+
"""DENND4A""",chr15,65660619,65792293,-
"""DENND4B""",chr1,153929501,153946678,-
"""DENND4C""",chr9,19230765,19374268,+
"""DENND5A""",chr11,9138826,9265326,-
"""DENND5B""",chr12,31382223,31591018,-
"""DENND5B-AS1""",chr12,31589923,31615351,+
"""DENND6A""",chr3,57625454,57693089,-
"""DENND6B""",chr22,50311963,50327060,-
"""DENR""",chr12,122752821,122771064,+
"""DEPDC1""",chr1,68474152,68497221,-
"""DEPDC1-AS1""",chr1,68496676,68538627,+
"""DEPDC1B""",chr5,60596912,60700166,-
"""DEPDC4""",chr12,100252264,100267079,-
"""DEPDC5""",chr22,31753951,31907034,+
"""DEPDC7""",chr11,33015864,33033582,+
"""DEPTOR""",chr8,119873655,120050918,+
"""DERA""",chr12,15911172,16037381,+
"""DERL1""",chr8,123013164,123042423,-
"""DERL2""",chr17,5471251,5486230,-
"""DERL3""",chr22,70865,23839012,-
"""DES""",chr2,219418377,219426739,+
"""DESI1""",chr22,41598028,41621057,-
"""DESI2""",chr1,244653048,244709034,+
"""DET1""",chr15,88512483,88546681,-
"""DEXI""",chr16,10928891,10942400,-
"""DFFA""",chr1,10460546,10472556,-
"""DFFB""",chr1,3857267,3885429,+
"""DFNA5""",chr7,24698355,24758020,-
"""DFNB31""",chr9,114402080,114505456,-
"""DFNB59""",chr2,178451436,178461383,+
"""DGAT1""",chr8,144314583,144326919,-
"""DGAT2""",chr11,75768733,75801536,+
"""DGAT2L6""",chrX,70177483,70205703,+
"""DGCR10""",chr22,19022624,19023550,+
"""DGCR11""",chr22,19046162,19048375,-
"""DGCR14""",chr22,19130279,19144677,-
"""DGCR2""",chr22,19036282,19122454,-
"""DGCR5""",chr22,18970498,19031242,+
"""DGCR6""",chr22,131494,18912088,+
"""DGCR6L""",chr22,20314238,20320105,-
"""DGCR8""",chr22,20080232,20111877,+
"""DGCR9""",chr22,19017834,19020248,+
"""DGKA""",chr12,55931162,55954023,+
"""DGKB""",chr7,14145049,14841450,-
"""DGKD""",chr2,233354507,233472097,+
"""DGKE""",chr17,56834099,56868675,+
"""DGKG""",chr3,186147201,186362234,-
"""DGKH""",chr13,42040036,42256580,+
"""DGKI""",chr7,137389639,137846863,-
"""DGKK""",chrX,50365407,50470738,-
"""DGKQ""",chr4,958884,973560,-
"""DGKZ""",chr11,46332905,46380554,+
"""DGUOK""",chr2,73926826,73958961,+
"""DGUOK-AS1""",chr2,73957968,73981439,-
"""DHCR24""",chr1,54849627,54887248,-
"""DHCR7""",chr11,71434411,71448431,-
"""DHDDS""",chr1,26432282,26471304,+
"""DHDH""",chr19,48933682,48944969,+
"""DHFR""",chr5,80626226,80654981,-
"""DHFRL1""",chr3,94057922,94063223,-
"""DHH""",chr12,49089421,49094819,-
"""DHODH""",chr16,72008744,72025417,+
"""DHPS""",chr19,12675717,12681887,-
"""DHRS1""",chr14,24290598,24299833,-
"""DHRS11""",chr17,827291,36600804,+
"""DHRS12""",chr13,51767993,51804162,-
"""DHRS13""",chr17,28897781,28903071,-
"""DHRS2""",chr14,23636364,23645639,+
"""DHRS3""",chr1,12567910,12617731,-
"""DHRS4""",chr14,23953735,23969281,+
"""DHRS4-AS1""",chr14,23938731,23955112,-
"""DHRS4L1""",chr14,24007009,24051377,+
"""DHRS4L2""",chr14,23969874,24006408,+
"""DHRS7""",chr14,60144781,60165493,-
"""DHRS7B""",chr17,21126928,21191972,+
"""DHRS7C""",chr17,9771434,9791297,-
"""DHRS9""",chr2,169067035,169096167,+
"""DHRSX""",chrX,2219514,2500974,-
"""DHTKD1""",chr10,12068917,12123228,+
"""DHX15""",chr4,24527465,24584561,-
"""DHX16""",chr6,1685906,30673053,-
"""DHX29""",chr5,55256245,55307693,-
"""DHX30""",chr3,47802909,47850196,+
"""DHX32""",chr10,125836340,125881315,-
"""DHX33""",chr17,5440912,5469060,-
"""DHX34""",chr19,47349281,47382704,+
"""DHX35""",chr20,38962338,39039723,+
"""DHX36""",chr3,1179,154324497,-
"""DHX37""",chr12,124946824,124989121,-
"""DHX38""",chr16,72093716,72112912,+
"""DHX40""",chr17,59565525,59608352,+
"""DHX57""",chr2,38797731,38875879,-
"""DHX58""",chr17,42101406,42112733,-
"""DHX8""",chr17,43483917,43526796,+
"""DHX9""",chr1,182839304,182887982,+
"""DIABLO""",chr12,122207662,122227534,-
"""DIAPH1""",chr5,141515021,141619055,-
"""DIAPH2""",chrX,96684663,97600598,+
"""DIAPH2-AS1""",chrX,97528364,97564535,-
"""DIAPH3""",chr13,59665589,60163985,-
"""DIAPH3-AS1""",chr13,60012718,60044356,+
"""DIAPH3-AS2""",chr13,60144698,60153505,+
"""DICER1""",chr14,95086228,95158010,-
"""DICER1-AS1""",chr14,95157688,95179933,+
"""DIDO1""",chr20,62877738,62937952,-
"""DIEXF""",chr1,209827967,209857565,+
"""DIMT1""",chr5,62388524,62403901,-
"""DIO1""",chr1,53894188,53911086,+
"""DIO2""",chr14,80197525,80231054,-
"""DIO2-AS1""",chr14,80211419,80455467,+
"""DIO3""",chr14,101561351,101563452,+
"""DIO3OS""",chr14,101552223,101555676,-
"""DIP2A""",chr21,46458949,46570013,+
"""DIP2A-IT1""",chr21,46462471,46469305,+
"""DIP2B""",chr12,50504985,50748667,+
"""DIP2C""",chr10,274190,689668,-
"""DIRAS1""",chr19,2714567,2721392,-
"""DIRAS2""",chr9,90609832,90643105,-
"""DIRAS3""",chr1,68045962,68050777,-
"""DIRC1""",chr2,188733738,188790104,-
"""DIRC2""",chr3,122795054,122881139,+
"""DIRC3""",chr2,217284023,217756593,-
"""DIS3""",chr13,72755402,72782128,-
"""DIS3L""",chr15,66293295,66333898,+
"""DIS3L2""",chr2,231961583,232343968,+
"""DISC1""",chr1,231626815,232041273,+
"""DISC1-IT1""",chr1,231925834,231945205,+
"""DISC1FP1""",chr11,90251232,90915052,+
"""DISC2""",chr1,231814626,231818517,-
"""DISP1""",chr1,222815089,223005995,+
"""DISP2""",chr15,40358235,40371056,+
"""DIXDC1""",chr11,111927144,112022650,+
"""DKC1""",chrX,154762742,154777689,+
"""DKFZP434A062""",chr9,136322302,136327323,-
"""DKFZP434H168""",chr16,56192617,56194525,-
"""DKFZP434I0714""",chr4,152536264,152539263,+
"""DKFZP434K028""",chr11,61754029,61757664,-
"""DKFZP434L187""",chr15,2480956,32342677,+
"""DKFZP586I1420""",chr7,30370050,30372794,+
"""DKFZp434J0226""",chr19,46210242,46214837,+
"""DKFZp434L192""",chr7,56496223,56497284,+
"""DKFZp451B082""",chr6,163338342,163347033,-
"""DKFZp686K1684""",chr11,31816566,31887041,+
"""DKFZp779M0652""",chr11,45771432,45772358,+
"""DKK1""",chr10,52314281,52317657,+
"""DKK2""",chr4,106921802,107036296,-
"""DKK3""",chr11,11962996,12009370,-
"""DKK4""",chr8,42374068,42377156,-
"""DKKL1""",chr19,49363730,49375116,+
"""DLAT""",chr11,112024814,112064278,+
"""DLC1""",chr8,13083363,13514920,-
"""DLD""",chr7,107891107,107921198,+
"""DLEC1""",chr3,38039205,38122737,+
"""DLEU1""",chr13,50082169,50528643,+
"""DLEU1-AS1""",chr13,50520933,50527449,-
"""DLEU2""",chr13,49982552,50125541,-
"""DLEU2L""",chr1,63548980,63550636,+
"""DLEU7""",chr13,50711026,50843939,-
"""DLEU7-AS1""",chr13,50807855,50849905,+
"""DLG1""",chr3,197042560,197299272,-
"""DLG1-AS1""",chr3,197298247,197303750,+
"""DLG2""",chr11,83455013,85627270,-
"""DLG3""",chrX,70444855,70505489,+
"""DLG3-AS1""",chrX,70452956,70455994,-
"""DLG4""",chr17,7189891,7220050,-
"""DLG5""",chr10,29483,77926590,-
"""DLG5-AS1""",chr10,165504,77929825,+
"""DLGAP1""",chr18,3496032,4455266,-
"""DLGAP1-AS1""",chr18,3594114,3597379,+
"""DLGAP1-AS2""",chr18,3603737,3610089,+
"""DLGAP1-AS3""",chr18,3878180,3897069,+
"""DLGAP1-AS4""",chr18,3962353,4013943,+
"""DLGAP1-AS5""",chr18,4264602,4296000,+
"""DLGAP2""",chr8,40124,1708476,+
"""DLGAP2-AS1""",chr8,33084,1621664,-
"""DLGAP3""",chr1,34865436,34929585,-
"""DLGAP4""",chr20,36306323,36528637,+
"""DLGAP4-AS1""",chr20,36507702,36573275,-
"""DLGAP5""",chr14,55148116,55191678,-
"""DLK1""",chr14,100726865,100735130,+
"""DLK2""",chr6,43450352,43456632,-
"""DLL1""",chr6,9444,170290609,-
"""DLL3""",chr19,39498917,39508481,+
"""DLL4""",chr15,40929333,40939060,+
"""DLST""",chr14,74881891,74903747,+
"""DLSTP1""",chr1,75742002,75745013,-
"""DLX1""",chr2,172085480,172089673,+
"""DLX2""",chr2,172099438,172102750,-
"""DLX2-AS1""",chr2,172103006,172109982,+
"""DLX3""",chr17,49990005,49995224,-
"""DLX4""",chr17,49969198,49974959,+
"""DLX5""",chr7,97020390,97024831,-
"""DLX6""",chr7,97005978,97011040,+
"""DLX6-AS1""",chr7,96968515,97014065,-
"""DMAP1""",chr1,44213453,44220679,+
"""DMBT1""",chr10,122560665,122643736,+
"""DMBT1P1""",chr10,122756694,122797645,+
"""DMBX1""",chr1,46506996,46514214,+
"""DMC1""",chr22,38518949,38570196,-
"""DMD""",chrX,31119228,33339609,-
"""DMGDH""",chr5,78997564,79069674,-
"""DMKN""",chr19,35497217,35513658,-
"""DMP1""",chr4,87650302,87664360,+
"""DMPK""",chr19,45769709,45782557,-
"""DMRT1""",chr9,841690,969091,+
"""DMRT2""",chr9,1050346,1057554,+
"""DMRT3""",chr9,976968,991732,+
"""DMRTA1""",chr9,22446841,22452473,+
"""DMRTA2""",chr1,50417551,50423447,-
"""DMRTB1""",chr1,53459399,53467487,+
"""DMRTC1""",chrX,72845042,72875788,+
"""DMRTC1B""",chrX,72845042,72875788,-
"""DMRTC2""",chr19,41845023,41852329,+
"""DMTF1""",chr7,87152361,87196332,+
"""DMTN""",chr8,22053555,22082527,+
"""DMWD""",chr19,45783006,45792802,-
"""DMXL1""",chr5,119071087,119249129,+
"""DMXL2""",chr15,51447724,51622770,-
"""DNA2""",chr10,68414064,68472121,-
"""DNAAF1""",chr16,84145260,84177918,+
"""DNAAF2""",chr14,49625174,49635230,-
"""DNAAF3""",chr19,55158661,55166722,-
"""DNAAF5""",chr7,726701,786479,+
"""DNAH1""",chr3,52316319,52400497,+
"""DNAH10""",chr12,177,123935720,+
"""DNAH11""",chr7,21543215,21901568,+
"""DNAH12""",chr3,57293699,57544344,-
"""DNAH14""",chr1,224929654,225399294,+
"""DNAH17""",chr17,78423697,78577394,-
"""DNAH17-AS1""",chr17,78484910,78503056,+
"""DNAH2""",chr17,7717354,7833744,+
"""DNAH3""",chr16,20933111,21159441,-
"""DNAH5""",chr5,13690329,13944480,-
"""DNAH6""",chr2,84516455,84819589,+
"""DNAH7""",chr2,195737703,196068812,-
"""DNAH8""",chr6,38715341,39030798,+
"""DNAH9""",chr17,11598431,11969748,+
"""DNAI1""",chr9,34458752,34520989,+
"""DNAI2""",chr17,74274247,74314884,+
"""DNAJA1""",chr9,33025203,33039907,+
"""DNAJA1P5""",chr1,101872012,101894743,+
"""DNAJA2""",chr16,46955362,46973714,-
"""DNAJA3""",chr16,128128,4456774,+
"""DNAJA4""",chr15,78264145,78282196,+
"""DNAJB1""",chr19,14514764,14529322,-
"""DNAJB11""",chr3,186570676,186585800,+
"""DNAJB12""",chr10,72332830,72355149,-
"""DNAJB13""",chr11,73950319,73970287,+
"""DNAJB14""",chr4,99896250,99946726,-
"""DNAJB2""",chr2,219279318,219286900,+
"""DNAJB3""",chr2,233742750,233744015,-
"""DNAJB4""",chr1,78004952,78017311,+
"""DNAJB5""",chr9,34989641,34998433,+
"""DNAJB5-AS1""",chr9,34985411,34989379,-
"""DNAJB6""",chr7,157337016,157417439,+
"""DNAJB7""",chr22,40859550,40862126,-
"""DNAJB8""",chr3,128462432,128467248,-
"""DNAJB8-AS1""",chr3,128463594,128472317,+
"""DNAJB9""",chr7,108569745,108574850,+
"""DNAJC1""",chr10,21756548,22003721,-
"""DNAJC10""",chr2,182716041,182780023,+
"""DNAJC11""",chr1,6634168,6701906,-
"""DNAJC12""",chr10,67796669,67838179,-
"""DNAJC13""",chr3,132417709,132539032,+
"""DNAJC14""",chr12,55820960,55829636,-
"""DNAJC15""",chr13,43023226,43109170,+
"""DNAJC16""",chr1,15526813,15571733,+
"""DNAJC17""",chr15,40767869,40807478,-
"""DNAJC18""",chr5,139410203,139439525,-
"""DNAJC19""",chr3,180983710,180989774,-
"""DNAJC2""",chr7,103312474,103344873,-
"""DNAJC21""",chr5,34929593,34958964,+
"""DNAJC22""",chr12,49346917,49353684,+
"""DNAJC24""",chr11,31369830,31432835,+
"""DNAJC25""",chr9,111631352,111654351,+
"""DNAJC25-GNG10""",chr9,111631352,111670246,+
"""DNAJC27""",chr2,24943636,24972094,-
"""DNAJC27-AS1""",chr2,24972112,25039696,+
"""DNAJC28""",chr21,92184,33491723,-
"""DNAJC3""",chr13,95677139,95794989,+
"""DNAJC3-AS1""",chr13,95672838,95676925,-
"""DNAJC30""",chr7,73680918,73683451,-
"""DNAJC4""",chr11,64230281,64234281,+
"""DNAJC5""",chr20,63895102,63936031,+
"""DNAJC5B""",chr8,66021556,66100520,+
"""DNAJC5G""",chr2,27275421,27281431,+
"""DNAJC6""",chr1,65264694,65415869,+
"""DNAJC7""",chr17,41976421,42017697,-
"""DNAJC8""",chr1,28200279,28233031,-
"""DNAJC9""",chr10,73241956,73247331,-
"""DNAJC9-AS1""",chr10,73247367,73276984,+
"""DNAL1""",chr14,73644875,73703728,+
"""DNAL4""",chr22,38778508,38794156,-
"""DNALI1""",chr1,37556919,37566857,+
"""DNASE1""",chr16,3652939,3658095,+
"""DNASE1L1""",chrX,154401236,154412091,-
"""DNASE1L2""",chr16,2236467,2238711,+
"""DNASE1L3""",chr3,58192626,58211003,-
"""DNASE2""",chr19,12875211,12881521,-
"""DNASE2B""",chr1,84398532,84415008,+
"""DND1""",chr5,140670796,140673586,-
"""DNER""",chr2,229357629,229714570,-
"""DNHD1""",chr11,6497296,6572024,+
"""DNLZ""",chr9,136361900,136363811,-
"""DNM1""",chr9,128203355,128255248,+
"""DNM1L""",chr12,32679200,32745650,+
"""DNM1P35""",chr15,75727670,75740077,-
"""DNM1P41""",chr15,84166547,84507021,-
"""DNM1P46""",chr15,99790156,99806927,-
"""DNM2""",chr19,10718053,10831910,+
"""DNM3""",chr1,171841478,172412717,+
"""DNM3-IT1""",chr1,171864192,171864687,+
"""DNM3OS""",chr1,172136879,172144835,-
"""DNMBP""",chr10,99875577,100009919,-
"""DNMBP-AS1""",chr10,99927209,99958998,+
"""DNMT1""",chr19,10133346,10195079,-
"""DNMT3A""",chr2,25232961,25342590,-
"""DNMT3B""",chr20,32762385,32809356,+
"""DNMT3L""",chr21,44246339,44262216,-
"""DNPEP""",chr2,219373458,219387940,-
"""DNPH1""",chr6,43225629,43229473,-
"""DNTT""",chr10,96304328,96338564,+
"""DNTTIP1""",chr20,45791937,45811427,+
"""DNTTIP2""",chr1,93869458,93879206,-
"""DOC2A""",chr16,30005514,30013596,-
"""DOC2B""",chr17,86805,181630,-
"""DOC2GP""",chr11,67613524,67615664,-
"""DOCK1""",chr10,126905409,127452517,+
"""DOCK10""",chr2,224765090,225042613,-
"""DOCK11""",chrX,118495909,118686160,+
"""DOCK2""",chr5,169637247,170083382,+
"""DOCK3""",chr3,50675241,51384198,+
"""DOCK4""",chr7,111726108,112206407,-
"""DOCK4-AS1""",chr7,111808505,111821779,+
"""DOCK5""",chr8,25184772,25413103,+
"""DOCK6""",chr19,11199293,11262492,-
"""DOCK7""",chr1,62454726,62688368,-
"""DOCK8""",chr9,214865,465259,+
"""DOCK9""",chr13,98793487,99086406,-
"""DOCK9-AS1""",chr13,98832084,98834629,+
"""DOCK9-AS2""",chr13,99086723,99088625,+
"""DOHH""",chr19,3490821,3500940,-
"""DOK1""",chr2,74549020,74557551,+
"""DOK2""",chr8,21908873,21913694,-
"""DOK3""",chr5,177501905,177510426,-
"""DOK4""",chr16,57471958,57486473,-
"""DOK5""",chr20,54475472,54651171,+
"""DOK6""",chr18,69401048,69849086,+
"""DOK7""",chr4,3463306,3501473,+
"""DOLK""",chr9,128945530,128947733,-
"""DOLPP1""",chr9,129081104,129090438,+
"""DONSON""",chr21,33577553,33588708,-
"""DOPEY1""",chr6,83067666,83168471,+
"""DOPEY2""",chr21,36164541,36294274,+
"""DOT1L""",chr19,2164149,2232578,+
"""DPAGT1""",chr11,119096503,119102075,-
"""DPCD""",chr10,101588332,101609653,+
"""DPCR1""",chr6,2196154,30954221,+
"""DPEP1""",chr16,89613308,89638431,+
